核桃糯米粥,效用: 核桃糯米粥能潤膚、補腎、養血、補氣。核桃仁忠不僅含有鈣、鐵、磷等元素，還含有鋅、錳、鉻等人體不可缺乏的礦物質及多種維生素及蛋白質、礦物質，都是有利於容貌健美的營養物質。而核桃仁所富含的植物脂肪中的亞麻油酸，更被視為滋潤肌膚的美容聖品，可以令皮膚滋潤光滑，富有彈性。,NULL,NULL,材料:核桃仁30克、紅棗15顆、玉竹3錢、糯米1/3杯，冰糖適量、水1000毫升,作法: @1. 將糯米浸水兩小時；核桃仁搗碎；紅棗去核並用水浸泡後搗碎；玉竹洗淨備用 @2. 取一乾淨鍋，放入做法1. 材料和水，煮成粥 3.煮好後用冰糖調味即可,藥膳,0,0,資料來源:  《吳明珠教你養好脾，35歲就像25歲：老得慢、瘦得快、祛斑除皺，女人病統統都掰掰！》作者:  吳明珠,END
莪朮核桃木耳湯,效用: 莪朮味辛、苦，性溫和，可入肝、脾經。行氣破血，消積止痛。莪朮核桃木耳湯，可泄滞血，化瘀通經，行氣止滿，養血滋腎。,NULL,服用方式: 月經過後可食，每週約一至二次，月經前一週至當週應停食。,材料:莪朮3錢，核桃仁1兩、黑木耳1兩，雞肉半斤、鹽適量,作法:@1. 將莪朮、核桃仁、黑木耳洗淨；雞肉洗淨，汆烫備用。@2. 將做法1. 材料放入鍋內，加水淹過食材後以大火煮沸，再轉小火燉煮1小時，加入適量鹽調味即可。,湯劑,3,0,資料來源:  《吳明珠教你養好脾，35歲就像25歲：老得慢、瘦得快、祛斑除皺，女人病統統都掰掰！》作者:  吳明珠,END
甘麥安神茶,效用: 安神養血。浮小麥有鎮靜、養心氣等功效。,適用對象: 心煩失眠、口乾舌燥等症。,NULL,材料: 甘草3錢、大棗5錢、浮小麥5錢、水500毫升、冰糖適量,作法:@ 1. 取一乾淨的茶壺，放入中藥材與水一起煮約10分鐘。@2. 最後加入冰糖，拌均匀即可完成。,飲品,0,0,資料來源:  《吳明珠教你養好脾，35歲就像25歲：老得慢、瘦得快、祛斑除皺，女人病統統都掰掰！》作者:  吳明珠,END
當歸羊肉補血湯,效用: 益氣養血。,適用對象: 氣血虛弱型痛經。,NULL,材料: 羊肉300克、當歸3錢、黃耆5錢、生薑5片、鹽適量,作法: @1. 羊肉洗淨切塊，汆燙備用。@2. 將做法1. 羊肉與當歸、黃耆、生薑加適量水共燉湯。@3. 最後加入鹽調味，吃肉飲湯。,湯劑,3,0,資料來源:  《吳明珠教你養好脾，35歲就像25歲：老得慢、瘦得快、祛斑除皺，女人病統統都掰掰！》作者:  吳明珠,END
補氣化瘀湯,效用: 理氣、涼血、女性血氣虛弱或血瘀，最易出現月經失調。本方用當歸活血補血，黃耆益氣升陽；赤芍活血去瘀；生地滋陰降火解毒，對氣滯血瘀者最能補脾、活血祛瘀、疏通散結。,適用對象: 一般體質皆可飲用。,服用方式: 每日1劑，7日為1療程。月經期、孕婦、感冒、氣喘發作、發燒、熱病急性期禁用。,材料: 當歸2錢、黃耆4錢、玉竹3錢、淮山5錢、生地3錢、赤芍3錢、水3碗、杏鮑菇適量,作法: @1. 將中藥材洗淨，裝入小布袋內；杏鮑菇洗淨切片。@2. 將做法1. 材料與水放入鍋中，燉煮約1小時即可。可經常服食。,湯劑,0,0,資料來源:  《吳明珠教你養好脾，35歲就像25歲：老得慢、瘦得快、祛斑除皺，女人病統統都掰掰！》作者:  吳明珠,END
補血顧腰湯,效用: 中醫理論以形補形，吃腰子顧腰。白芍養血柔肝，緩中止痛，斂陰收汗；熟地養陰補腎；當歸、川夸活血止痛；緡斷、杜仲補腎益虛損。,適用對象: 做月子之婦女。,NULL,材料: 當歸3錢、川茸3錢、白芍3錢、熟地3錢、續斷3錢、杜仲5錢、腰子適量、薑適量,作法: @1. 將所有中藥材用5碗水熬煮至剩兩碗的藥汁量。@2. 腰子洗淨切片，放入鍋中與薑拌炒，加入藥汁即可食用。,湯劑,0,1,資料來源:  《吳明珠教你養好脾，35歲就像25歲：老得慢、瘦得快、祛斑除皺，女人病統統都掰掰！》作者:  吳明珠,END
冬瓜薏仁粥,效用: 健脾去溼，補中益氣。,NULL,NULL,材料: 冬瓜100克、薏仁40克、白米100克、水1000毫升、薑片少許,作法: @1. 將薏仁、白米洗淨，泡水一小時；冬瓜洗淨去皮，切小塊備用。@2. 將做法1. 的意仁、白米加水以大火煮沸，換小火滾煮。@3. 待做法2. 熬煮成弼時，再加進冬瓜及薑片滾即可。@4. 材料可依個人口味進行調整，食療配方須循序漸進，切勿躁進。,藥膳,0,0,資料來源:  《吳明珠教你養好脾，35歲就像25歲：老得慢、瘦得快、祛斑除皺，女人病統統都掰掰！》作者:  吳明珠,END
黑糖地瓜湯,效用: 1.和中、補氣、養血2.地瓜具有補脾胃、益氣力、寬腸胃的作用，適合脾胃虛弱的人食用；黃耆、紅棗健脾補氣養血。,NULL,NULL,材料: 地瓜1條(約100克)、薑30克、黃耆6錢、紅棗6顆、茯苓5錢、黑糖適量,作法: @1. 薑洗好切塊；地瓜去皮切塊，備用；中藥沖淨後入布包中。@2. 取鍋，放入作法1. 的地瓜、薑、中藥包和水。@3. 將作法2. 放入電鍋中，外鍋放1杯水蒸煮，待開關跳起後，加適量黑糖調味即可食用。,湯劑,0,0,資料來源:  《吳明珠教你養好脾，35歲就像25歲：老得慢、瘦得快、祛斑除皺，女人病統統都掰掰！》作者:  吳明珠,END
南瓜濃湯,效用: 補肺健脾。,NULL,NULL,材料: 南瓜200公克、青豆仁20公克、胡蘿蔔30公克、洋蔥末15公克、橄欖油1大匙、西洋參粉3克、鹽少許、胡椒粉少許,作法: @1. 南瓜去籽、去皮，切片蒸熟，壓成泥備用。@2. 胡蘿蔔切丁，與青豆仁一起放入沸水中汆燙備用。@3. 熱鍋，加入1大匙橄欖油，爆香洋蔥末，放入作法1. 的南瓜泥炒數下，再加入水以小火邊煮邊攪拌至滾。@4. 續於做法3. 中加入西洋參粉及所有調味料拌勻後熄火後即可。,湯劑,0,0,資料來源:  《吳明珠教你養好脾，35歲就像25歲：老得慢、瘦得快、祛斑除皺，女人病統統都掰掰！》作者:  吳明珠,END
薏仁冬瓜盅,效用: 健脾、去溼助減重。,NULL,NULL,材料: 薏仁1兩、冬瓜300克(選用頭尾端)、銀耳3錢、薑片3片、枸杞2錢,作法:@ 1. 冬瓜洗淨，去囊，留下中空，將其餘材料，與淹過材料的水量放入冬瓜內。@2. 將做法1. 冬瓜放入盤中，再放進電鍋，外鍋加一杯水約200毫升，加熱燉熟，加少量鹽調味即可食用。,藥膳,0,0,資料來源:  《吳明珠教你養好脾，35歲就像25歲：老得慢、瘦得快、祛斑除皺，女人病統統都掰掰！》作者:  吳明珠,END
