背部伸展操,效用: 舒緩背部疲勞,NULL,建議次數: 10次左右,詳細動作:@1. 雙手握住一本書向前伸展，背部挺直。@2. 腹部保持內凹，胸部自然下壓，讓背部前驅，手臂保持不動。@3. 吸、回正，伸展脊椎、肩膀放鬆下壓。,NULL,NULL,資料來源: 《隨時隨地首選-彼拉提斯》作者: 陳雪梅,皮拉提斯,日常保健,0,0,END
收腹抬腿操,效用: 消除腹部贅肉,NULL,建議次數: 8次左右,詳細動作: @1. 坐在椅子上，雙手扶椅子的兩側，身體後傾。吸氣、雙腳離地，腿部朝胸部的方向上抬。@2. 吸氣，腿部放下，腳尖著地，腳跟離地。,NULL,NULL,資料來源: 《隨時隨地首選-彼拉提斯》作者: 陳雪梅,皮拉提斯,減肥塑身,0,0,END
天線式瑜伽,效用: 「肺」的經絡從內手腕一路延展到上手臂，伸展手腕與擴胸運動刺激經絡，有助於抒解肺氣的壓抑，抒通氣結。,NULL,NULL,詳細動作: @1. 雙膝跪地，屁股坐在腳跟上，雙手在背後反握。@2. 深呼吸，吐氣同時上半身向前傾倒，額頭貼地，向上舉起反握的雙手。@3. 慢慢地深呼吸，感受手腕與胸口的擴張。@4. 請視個人身體的柔軟度進行，勿強迫以免造成受傷，只要感受到胸口及手腕的張力即可。,NULL,NULL,NULL,養生瑜珈,日常保健,0,0,END
慢跑,效用: 防止肺功能衰退,NULL,建議: 要達到養肺健身的效果，最好每週進行三次以上，每次約二十分鐘到半個小時。強度則以邊跑邊還能與人交談，不覺難受、不喘為宜。重點在於慢跑的時間和環境，最好選擇在公園，清晨或是黃昏時，空氣較佳，綠色植物較多，氧氣充足。,NULL,慢跑對心肺功能最有幫助，防止肺功能衰退，但要注意慢跑時的呼吸方式，要以「腹式呼吸」，就是把氣吸到腹部，這時候肚子會漲大起來，等到氣呼出去時，肚子會消掉，感覺呼吸的動作在肚子而不是肺。,腹式呼吸目的是利用腹肌幫助膈肌運動，以增加肺泡通氣量，降低呼吸頻率，還可緩解因病引起的呼吸困難症狀。,資料來源: 《吳明珠教你養好肺 口罩擋不住的PM2.5，讓清肺養生術來幫你》作者: 吳明珠,常見運動,日常保健,0,0,END
快走,效用: 8km/h，1小時耗能563大卡。快走30min的耗能是走路的10倍。每天30min快走可以預防糖尿病、心臟病、骨質疏鬆及癌症。建議：在開始快走前漫步5min,NULL,NULL,NULL,NULL,NULL,資料來源: https://kknews.cc/zh-tw/health/av5oaaj.html,常見運動,減肥塑身,0,0,END
跑步,效用: 跑步消耗的能量與跑步時間、速度有直接關聯。以60kg成年人計算6km/h的速度，1小時耗能458大卡；7km/h的速度，1小時耗能539大卡；8km/h的速度，1小時耗能611大卡；9.7km/h的速度，1小時耗能724大卡；10.8km/h的速度，1小時耗能804大卡；11.3km/h的速度，1小時耗能844大卡；12.1km/h的速度，1小時耗能925大卡；13.8km/h的速度，1小時耗能1045大卡；14.5km/h的速度，1小時耗能1126大卡。建議：男性跑步速度8-10km/h；女性跑步速度6-8km/h,NULL,NULL,NULL,NULL,NULL,資料來源:  https://kknews.cc/zh-tw/health/av5oaaj.html,常見運動,減肥塑身,0,0,END
有氧操,效用: 包含健美操、拳擊操、HIIT和Zumba。低強度有氧操，1小時耗能281大卡；中強度有氧操，1小時耗能362大卡；高強度有氧操，1小時耗能442大卡；健美操，1小時耗能241大卡；拳擊操，1小時耗能482大卡；初級HIIT，1小時耗能322大卡；中級HIIT，1小時耗能482大卡；高級HIIT，1小時耗能643大卡；Zumba，1小時耗能603大卡。通過有氧操訓練，可提升身體代謝率。其中,HIIT運動效果最為顯著,NULL,NULL,NULL,NULL,資料來源:  https://kknews.cc/zh-tw/health/av5oaaj.html,常見運動,減肥塑身,0,0,END
騎自行車,效用: 不同速度對應消耗也不同。慢騎16~19km/h，1小時耗能402大卡；適中19~22.4km/h，1小時耗能563大卡；賽車22.5~25.5km/h，1小時耗能724大卡。訓練可加速血液循環、強化血管、提高攝氧量、分泌多巴胺,NULL,NULL,NULL,NULL,NULL,資料來源: : https://kknews.cc/zh-tw/health/av5oaaj.html,常見運動,減肥塑身,0,0,END
游泳,效用: 游泳可是滅脂高手！慢速自由式，1小時耗能482大卡；快速自由式，1小時耗能724大卡；蛙泳，1小時耗能724大卡；仰泳，1小時耗能482大卡；蝶泳，1小時耗能804大卡；滿速狗刨（2.5km/h），1小時耗能563大卡；快速狗刨（4km/h），1小時耗能804大卡,NULL,NULL,NULL,NULL,NULL,https://kknews.cc/zh-tw/health/av5oaaj.html,常見運動,減肥塑身,0,0,END
跳繩,效用: 跳繩是一項全身性的運動，能刺激肱二、股四、臀部、大腿內收、外展肌群、背、斜方、小臂肌群等，能起到瘦身塑形的效果，消除臀、腿多餘脂肪，不同的速度效果也不同。慢速跳繩，1小時耗能563大卡；快速跳繩，1小時耗能884大卡,NULL,NULL,NULL,NULL,NULL,資料來源: https://kknews.cc/zh-tw/health/av5oaaj.html,常見運動,減肥塑身,0,0,END
球類運動,效用: 球類運動可提升身體協調能力，不同的項目燃脂效果不同。羽毛球，1小時耗能281大卡；桌球，1小時耗能241大卡；籃球，1小時耗能563大卡；網球，1小時耗能563大卡；撞球，1小時耗能121大卡；足球，1小時耗能563大卡,NULL,NULL,NULL,NULL,NULL,資料來源: https://kknews.cc/zh-tw/health/av5oaaj.html,常見運動,減肥塑身,0,0,END
Joseph Pilates經典墊上皮拉提斯 (Mat Pilates),效用: 加強核心肌群、訓練身體的穩定度及協調性，為初學者最入門的選擇！,NULL,NULL,NULL,NULL,NULL,資料來源: https://www.womenshealthmag.com/tw/fitness/work-outs/g33346169/introduce-pilates/,皮拉提斯,日常保健,0,0,END
機械式皮拉提斯(Equipment Pilates),效用: 利用Reformer 核心床、 Trapeze Table鞦韆床、和Wunda Chair萬能椅，增加訓練強度之外，由機械輔助支撐身體核心肌群，讓動作變化性、多樣性也比墊上皮拉提斯增加好幾倍。,NULL,NULL,NULL,NULL,NULL,資料來源: https://www.womenshealthmag.com/tw/fitness/work-outs/g33346169/introduce-pilates/,皮拉提斯,日常保健,0,0,END
瑜珈提斯(Yogalates),效用: 皮拉提斯相較於瑜伽不同的是著重在訓練「呼吸、身體關節的擺位、活動與穩定」，重新建立大腦與身體的連結。,NULL,NULL,NULL,NULL,NULL,資料來源: https://www.womenshealthmag.com/tw/fitness/work-outs/g33346169/introduce-pilates/,皮拉提斯,日常保健,0,0,END
