肝氣鬱結型_經前乳脹,舌苔厚度薄。舌苔顏色白或舌苔顏色黃。,脈緊度緊。脈速度快。脈長度長。,少腹痛。少腹脹。情緒多嘆。情緒憂鬱。胸悶。脅脹。,小腹痛。小腹脹。情緒憤怒。情緒煩躁。,不孕。乳房脹痛。乳頭脹痛。痛經。
肝腎陰虛型_經前乳脹,舌苔厚度薄。舌體顏色紅色。,脈寬度細。,NULL,下肢無力。下肢酸。口乾。喉乾。情緒煩躁。情緒神疲。手足心熱。目乾。腰無力。腰酸。膝酸。食後困倦。,不孕。乳房柔軟。乳房發育不良。乳房脹痛。月經提前。月經量少。
肝鬱化熱_乳泣,舌尖顏色紅。舌苔顏色黃。,脈利度滑。脈緊度緊。脈速度快。,胸悶。頭暈。,口苦。喉乾。小便色紅。小便量少。情緒多嘆。情緒憂鬱。,乳房有熱感。乳房脹痛。乳汁稠。乳汁色白。乳汁色黃。胎不長。自覺乳汁流出。
胃氣不固_乳泣,舌苔顏色白。舌體顏色淡紅色。,脈寬度細。,NULL,呼吸微弱。情緒神疲。面色暗。頭暈。食後困倦。,乳房柔軟。乳汁色白。胎不長。自覺乳汁流出。
氣血虛弱型_產後缺乳,舌苔厚度薄。舌苔顏色灰或舌苔顏色白。舌體顏色淡白色或舌體顏色淡紅色。,脈力度弱。脈寬度細。,情緒神疲。,四肢無力。面色暗。食欲低落。,乳房柔軟。乳汁全無。乳汁稀少。惡露不絕。惡露多。
肝鬱氣滯型_產後缺乳,舌尖顏色紅。舌苔顏色黃。舌體顏色深紅色。,脈緊度緊。脈速度快。脈長度長。,食欲低落。,情緒憂鬱。胸脹。脅脹。,乳房有熱感。乳房硬。乳房脹痛。乳汁全無。乳汁稀少。乳汁稠。
痰氣壅阻型_產後缺乳,舌苔質地黏膩。舌苔顏色白。,脈寬度細。脈部位沉。,大便次多。大便質稀。胸悶。,全身肥胖。大便次少。大便次少按壓時加重。大便量多或大便量少。,乳房柔軟。乳房豐滿。乳汁全無。乳汁稀少。
氣血虛弱型_產後乳汁自出,舌苔厚度薄。舌苔顏色灰。舌體顏色淡紅色。,脈力度弱。脈寬度細。,呼吸微弱。情緒神疲。,食欲低落。,乳房柔軟。自覺乳汁點滴流出。
肝經鬱熱型_產後乳汁自出,舌苔厚度薄。舌苔顏色黃。,脈寬度細。脈緊度緊。脈速度快。脈長度長。,情緒憤怒。,口乾。口苦。情緒憂鬱。脅脹。頭暈。,乳房脹痛。乳汁稠。自覺乳汁流出。
肝鬱化火型_乳衄,舌尖顏色紅。舌苔顏色黃。,脈緊度緊。脈速度快。脈長度長。,NULL,NULL,不孕。乳房有腫塊。乳房脹痛。乳頭流紅色血。月經提前。月經量多。流產。
脾胃氣虛型_乳衄,舌苔顏色白。舌體顏色淡白色。,脈寬度細。脈速度慢。,情緒神疲。,四肢無力。大便質稀。面色暗。面色白。食欲低落。,乳頭流紅色血。乳頭流蛋黃血水。月經提前。月經量多。
肝鬱氣滯型_乳癖,舌苔厚度薄。舌苔顏色黃。舌體顏色深紅色。,脈緊度緊。脈速度快。脈長度長。,NULL,NULL,不孕。乳房有腫塊。乳房脹痛。月經不調。痛經。
痰氣凝結型_乳癖,舌苔質地黏膩。舌苔顏色白。舌體顏色淡白色。,脈寬度細。脈部位沉。,胸悶。食欲低落。,咽阻。痰量多。頭暈。,乳房有腫塊。月經不調。
肝鬱腎虛型_乳癖,舌苔顏色白。,脈寬度細。,NULL,腰無力。腰酸。膝酸。,不孕。乳房有腫塊。月經先後不定。
