手陽明大腸經,舌苔顏色黃。,脈利度滑。脈緊度緊。脈長度長。,NULL,口乾。大便質硬。小便次少。小便色黃。發熱。腹脹。食後腹脹。,陰吹較劇。有陰吹。
濕襲肌膚,舌苔厚度薄。舌苔質地黏膩。舌苔顏色白或舌苔顏色黃。舌體顏色淡白色或舌體顏色紅色。,脈寬度細。脈緊度緊。脈速度快。脈部位沉。脈長度長。,NULL,下肢無力。妊娠心煩。小便次多。心悸。情緒憂鬱。情緒憤怒。情緒煩躁。情緒神疲。意識呆滯。易醒。月經煩躁。胸悶。腰冷。腰痛。腰酸。膝痛。膝酸。頭暈。,全身痛。全身癢。外陰增厚粗糙。外陰搔癢。外陰皮膚變白。外陰脆薄。外陰萎縮。陰戶腫。
濕襲衛表,舌苔顏色白。舌體顏色淡白色。,脈寬度細。,四肢無力。情緒神疲。,嗜睡。情緒神疲。胃悶。頭昏。食後困倦。,有陰吹。陰吹時斷時續。
濕邪客脾,舌苔質地黏膩。舌苔顏色黃。舌體顏色紅色。,脈力度弱。脈寬度細。脈緊度散。脈速度快。脈部位浮。,胸悶。,口膩。妊娠心煩。小便次少。小便色黃。情緒煩躁。月經煩躁。,外陰充血。外陰潰瘍。帶下腥臭。帶下色白。帶下色黃。帶下質黏膩。帶下量多。陰戶脹。陰戶腫。陰道充血。
痰濕阻肺,舌苔質地黏膩。舌苔顏色黃。,脈利度滑。脈寬度細。,痰量多。胸悶。,口膩。胃脹。,帶下色白。帶下質黏膩。帶下量多。有陰吹。
痰火熱心,舌苔質地黏膩。舌苔顏色黃。,脈部位沉。,大便次少。大便質硬。發熱。,口乾。小便不暢。惡寒。,陰戶疼。陰戶脹。陰戶腫。
痰火鬱心,舌苔厚度薄。舌苔質地黏膩。舌苔顏色黃。舌體顏色淡紅色或舌體顏色紅色。,脈寬度細。脈緊度緊。脈速度快。,情緒煩躁。,口乾。口苦。喉乾。大便次少。大便次少按壓時加重。大便質硬。小便次少。小便色黃。情緒多嘆。情緒憂鬱。手足心熱。胸悶。難眠。,有陰吹。外陰皮膚變白。外陰皮膚變粉。外陰萎縮。大陰唇上端黏連。大陰唇變平。小陰唇部分或全部消失。陰吹較輕。陰道口狹窄。
脾氣虛,舌苔厚度薄。舌苔顏色灰或舌苔顏色白。舌體顏色淡紅色。,脈寬度細。,呼吸微弱。情緒神疲。,四肢無力。小便次多。意識呆滯。意識懶言。面色暗。頭昏。食後困倦。,帶下色白。帶下質稀。帶下量多。陰戶墜。陰戶有物。陰戶疼。陰戶脹。陰戶重。陰道無異狀。
膽郁痰擾,舌苔質地黏膩。舌苔顏色黃。舌體顏色紅色。,脈寬度細。脈緊度緊。脈速度快。脈長度長。,胸悶。,口膩。口苦。妊娠心煩。情緒多嘆。情緒憂鬱。情緒煩躁。月經煩躁。,外陰充血。帶下腥臭。帶下色黃。帶下量多。有陰痛。陰戶疼。陰戶脹。陰道充血。陰部乾澀。陰部有灼熱感。
血虛生風,舌體顏色淡紅色。,脈部位沉。,NULL,下肢無力。小便次多。耳鳴。腰酸。頭暈。,NULL
足太陰脾經,舌苔質地黏膩。舌苔顏色白或舌苔顏色黃。,脈寬度細。脈緊度緊。脈速度快。脈長度長。,NULL,下肢浮腫。全身冷。全身無力。全身痛。全身酸。口乾。口苦。大便次少。大便次少按壓時加重。大便質硬。大便質稀。寒戰。小便色黃。小便量少。情緒神疲。惡寒。意識呆滯。渴而少飲。畏寒。脅痛。關節痛。面浮腫。,外陰搔癢。外陰有皺裂。外陰皮膚變白。濕疹。白帶增多。陰戶疼。陰戶腫。陰道有潰傷。陰部乾澀。陰部皮膚黏膜變粗糙增厚。
陰虛動風,舌苔厚度薄。舌苔顏色白或舌苔顏色黃。舌體顏色紅色。,脈力度弱。脈寬度細。脈速度快。,NULL,全身癢。口乾。喉乾。大便不暢。小便次少。小便色黃。情緒煩躁。手足心熱。渴不欲飲。發熱。目乾。耳鳴。腰酸。自汗。頭暈。,外陰乾燥。外陰搔癢。外陰有皺裂。外陰澀痛。外陰皮膚變白。外陰萎縮。帶下色黃。帶下血樣。帶下量多。有陰痛。陰戶疼。陰道潮紅。陰部乾澀。陰部搔癢。陰部有灼熱感。
