氣虛型_陰挺,舌苔厚度薄。舌苔顏色灰。舌體顏色淡紅色。,脈寬度細。,呼吸微弱。,四肢無力。小便次多。意識懶言。面色暗。,帶下色白。帶下質稀。帶下量多。陰戶墜。陰戶有物。陰戶脹。陰戶重。
腎虛型_陰挺,舌體顏色淡紅色。,脈部位沉。,NULL,下肢無力。小便次多。耳鳴。腰酸。頭暈。,NULL
濕熱下注型_陰癢,舌苔質地黏膩。舌苔顏色黃。,脈緊度緊。脈速度快。脈長度長。,胸悶。,口膩。口苦。妊娠心煩。情緒煩躁。月經煩躁。,外陰充血。帶下腥臭。帶下色黃。帶下量多。陰道充血。陰部乾澀。
肝腎陰虛型_陰癢,舌苔厚度薄。舌體顏色紅色。,脈力度弱。脈寬度細。脈速度快。,NULL,口乾。情緒煩躁。手足心熱。渴不欲飲。發熱。耳鳴。腰酸。自汗。頭暈。,帶下色黃。帶下血樣。帶下量多。陰部乾澀。陰部搔癢。陰部有灼熱感。
心肝鬱火型_陰癢,舌苔質地黏膩。舌苔顏色黃。舌體顏色紅色。,脈寬度細。脈緊度緊。脈速度快。脈長度長。,NULL,妊娠心煩。情緒憂鬱。情緒憤怒。情緒煩躁。易醒。月經煩躁。胸悶。,外陰搔癢。
熱毒型_陰瘡,舌苔質地黏膩。舌苔顏色黃。,脈部位沉。,大便次少。大便質硬。發熱。,口乾。小便不暢。惡寒。,陰戶疼。陰戶脹。陰戶腫。
寒凝型_陰瘡,舌苔厚度薄。舌苔質地黏膩。舌苔顏色黃。舌體顏色淡白色。,脈寬度細。,NULL,妊娠心煩。心悸。情緒煩躁。情緒神疲。月經煩躁。,全身痛。全身癢。外陰皮膚變白。陰戶腫。
肝腎陰虛型_陰痛,舌苔顏色黃。,脈寬度細。脈速度快。,NULL,口乾。喉乾。大便不暢。小便次少。小便色黃。情緒煩躁。手足心熱。發熱。腰酸。自汗。頭暈。,外陰萎縮。有陰痛。陰戶疼。陰道潮紅。陰部乾澀。陰部有灼熱感。
肝經鬱火型_陰痛,舌苔質地黏膩。舌苔顏色黃。舌體顏色紅色。,脈寬度細。脈緊度緊。,胸悶。,妊娠心煩。情緒多嘆。情緒憂鬱。情緒煩躁。月經煩躁。,有陰痛。陰戶疼。陰戶脹。陰部有灼熱感。
氣虛下陷型_陰痛,舌苔厚度薄。舌苔顏色白。舌體顏色淡紅色。,脈寬度細。,呼吸微弱。情緒神疲。,意識呆滯。意識懶言。面色暗。頭昏。食後困倦。,帶下色白。帶下質稀。帶下量多。陰戶墜。陰戶疼。陰道無異狀。
濕熱下注型_陰痛,舌苔質地黏膩。舌苔顏色黃。舌體顏色紅色。,脈力度弱。脈寬度細。脈緊度散。脈速度快。脈部位浮。,胸悶。,口膩。妊娠心煩。小便次少。小便色黃。情緒煩躁。月經煩躁。,外陰充血。外陰潰瘍。帶下腥臭。帶下色白。帶下色黃。帶下質黏膩。帶下量多。陰戶脹。陰戶腫。陰道充血。
風冷壅阻型_陰痛,舌苔顏色白。,脈寬度細。,NULL,全身冷。全身無力。全身痛。全身酸。寒戰。惡寒。畏寒。關節痛。,陰戶疼。陰戶腫。
腑氣不通型_陰吹,舌苔顏色黃。,脈利度滑。脈緊度緊。脈長度長。,NULL,口乾。大便質硬。小便次少。小便色黃。發熱。腹脹。食後腹脹。,陰吹較劇。
氣虛型_陰吹,舌苔顏色白。舌體顏色淡白色。,脈寬度細。,四肢無力。情緒神疲。,嗜睡。情緒神疲。胃悶。頭昏。食後困倦。,陰吹時斷時續。
痰濕型_陰吹,舌苔質地黏膩。舌苔顏色黃。,脈利度滑。脈寬度細。,痰量多。胸悶。,口膩。胃脹。,帶下色白。帶下質黏膩。帶下量多。有陰吹。
氣鬱型_陰吹,舌苔質地黏膩。舌苔顏色黃。舌體顏色淡紅色。,脈寬度細。脈緊度緊。,情緒煩躁。,情緒多嘆。情緒憂鬱。胸悶。難眠。,陰吹較輕。
臟陰虧損型_女陰白色病變,舌苔厚度薄。舌苔顏色黃。舌體顏色紅色。,脈寬度細。脈速度快。,情緒煩躁。,口乾。口苦。喉乾。大便次少。大便次少按壓時加重。大便質硬。小便次少。小便色黃。手足心熱。難眠。,外陰皮膚變白。外陰皮膚變粉。外陰萎縮。大陰唇上端黏連。大陰唇變平。小陰唇部分或全部消失。陰道口狹窄。
陽虛陰寒型_女陰白色病變,舌苔厚度薄。舌苔顏色白。舌體顏色淡白色。,脈寬度細。脈部位沉。,NULL,下肢無力。小便次多。意識呆滯。腰冷。腰痛。腰酸。膝痛。膝酸。頭暈。,外陰增厚粗糙。外陰搔癢。外陰皮膚變白。外陰脆薄。外陰萎縮。
血虛化燥型_女陰白色病變,舌苔厚度薄。舌苔顏色白或舌苔顏色黃。舌體顏色紅色。,NULL,NULL,全身癢。情緒煩躁。手足心熱。目乾。,外陰乾燥。外陰搔癢。外陰有皺裂。外陰澀痛。外陰皮膚變白。
濕熱下注型_女陰白色病變,舌苔質地黏膩。舌苔顏色黃。,脈緊度緊。脈速度快。脈長度長。,NULL,下肢浮腫。口乾。口苦。大便次少。大便次少按壓時加重。大便質硬。大便質稀。小便色黃。小便量少。情緒神疲。意識呆滯。渴而少飲。脅痛。面浮腫。,外陰搔癢。外陰有皺裂。外陰皮膚變白。濕疹。白帶增多。陰道有潰傷。陰部乾澀。陰部皮膚黏膜變粗糙增厚。
