寒邪客脾,舌苔顏色白。舌體顏色淡白色。,脈速度慢。脈部位沉。,四肢冷。腹痛。,大便質稀。畏寒。腰冷。腰痛。腹冷。食欲低落。,腹形小於正常妊娠月份。
心氣虛,舌苔厚度薄。舌苔顏色白。舌體顏色淡白色。,脈利度滑。脈力度弱。脈寬度寬或脈寬度細。脈緊度散。脈部位沉。,呼吸微弱。,四肢無力。心悸。意識懶言。面乾。面色白。面色黃。頭顫。,宮縮時間短。宮縮間歇時間長。腰痛。腰腹陣痛微弱。腹形小於正常妊娠月份。腹痛。腹脹。陰道出血色淡紅。陰道出血色深紅。陰道出血質稀。
心火亢盛,舌尖顏色紅。,脈寬度細。脈速度快。,面色紅。,口渴。,小便不暢。小便疼痛。小便色紅。小便量少。
心脈痰聚,舌苔厚度厚。舌苔質地黏膩。舌苔顏色白。,脈利度滑。脈部位沉。,胸悶。胸脹。,口中淡膩。呼吸微弱。心悸。胃悶。胃脹。,吐清水。咳嗽挾痰。嘔吐。
心血虛,舌苔厚度薄。舌苔顏色白。舌體顏色淡白色。,脈利度滑。脈力度弱。脈寬度細。脈緊度散。脈部位沉。,NULL,多夢難眠。心悸。面乾。面色黃。,小腹痛。腹痛。
濕邪客脾,舌苔厚度厚或舌苔厚度薄。舌苔質地黏膩。舌苔顏色灰或舌苔顏色白或舌苔顏色黃。舌體顏色淡紅色或舌體顏色深紅色。,脈利度滑或脈利度澀。脈力度弱。脈寬度細。脈幅異常。脈緊度散或脈緊度緊。脈部位沉或脈部位浮。脈長度長。,大便質稀。胸悶。腹脹。食欲低落。,口乾。口臭。嘔吐。噁心。四肢冷。四肢無力。小腹痛。煩躁憤怒。畏寒。疲憊嗜睡。緊張心慌。胃悶。胃脹。胸痛。胸脹。脅痛。脅脹。面色暗。面色白。面色紫。頭暈目眩。頭痛。頭脹。,久產不下。全身浮腫。四肢浮腫。小腹冷。小腹痛。懷孕期間有外傷。胎死腹中。胸脹。腰腹疼痛劇烈。腹痛。腹脹。膝腫脹。足腫脹。陰道出血色深紅。陰道出血色紅。陰道出血量少。面浮腫。頭暈目眩。頭重。
熱極生風,舌苔厚度薄。舌苔質地黏膩。舌苔顏色黃。舌體顏色深紅色。,脈利度滑。脈緊度緊。脈速度快。脈長度長。,胸悶。,口乾。喉乾。心悸。煩躁憤怒。胸痛。脅痛。面色紅。,四肢抽搐。意識昏迷。煩躁憤怒。緊張心慌。胸脹。腹脹。
痰火熱心,舌苔質地黏膩。舌苔顏色黃。舌體顏色深紅色。,脈利度滑。脈寬度寬。脈緊度緊。脈速度快。脈長度長。,大便質硬。發熱。面色紅。,口乾。口渴。呼吸痰鳴。小便色黃。煩躁憤怒。畏寒。胸悶。面乾。頭暈目眩。頭痛。,咳嗽挾痰。小腹痛。意識昏迷。痰色黃。痰質濃。腹痛。
痰火鬱心,NULL,NULL,NULL,NULL,煩躁憤怒。
肝氣鬱結,舌苔厚度薄。舌苔顏色黃。,脈利度滑。脈緊度緊。脈長度長。,脅痛。脅脹。,煩躁憤怒。,小腹痛。小腹脹。腹痛。
肝火上炎,舌苔厚度薄。舌苔顏色黃。舌體顏色深紅色。,脈利度滑。脈緊度緊。脈長度長。,脅痛。,憂鬱多嘆。煩躁憤怒。胃悶。胃痛。脅痛。頭暈目眩。頭脹。,吐清水。吐酸水。嘔吐。
肺氣虛,舌體顏色淡白色。,脈力度弱。脈寬度細。脈部位浮。,呼吸微弱。,呼吸急促。四肢冷。大汗淋漓。意識昏迷。面色白。頭暈目眩。,子宮較停經週數小。子宮頸已擴張。胎盤組織堵塞於子宮頸口。陰道出血色紅。
胃氣上逆,舌苔顏色白。舌體顏色淡白色。,脈利度滑。脈力度弱。脈速度慢。,NULL,四肢無力。疲憊嗜睡。胃脹。腹脹。食欲低落。,吐清水。噁心。
脾氣虛,舌苔厚度薄。舌苔質地黏膩。舌苔顏色白。舌體顏色淡白色。,脈利度滑或脈利度澀。脈力度弱。脈寬度寬。脈幅異常。脈速度慢。,呼吸微弱。,口中淡膩。口臭。大便質稀。小腹冷。小腹痛。意識懶言。胸悶。面色白。食欲低落。,全身浮腫。全身色黃。四肢浮腫。胎動停止。胎死腹中。腹中不再繼續長大。面浮腫。
脾陽虛,舌體顏色深紅色。,脈力度弱。脈部位沉。,四肢冷。畏寒。,冷汗。面色白。面色青。,腹痛。陰道出血色紅。
腎氣不固/脾氣虛,舌體顏色淡白色。,脈力度弱。脈部位沉。,呼吸微弱。,下肢無力。下肢酸。四肢無力。大便質稀。小便次數多。小便量多。意識懶言。耳鳴。腰無力。腰酸。膝酸。面生斑。頭暈目眩。食欲低落。,屢次墮胎。月經先後不定期。月經初潮較晚。月經後期。月經色淡紅。月經色黑。月經量少。難受孕。
腎精不足,舌苔顏色白。舌體顏色淡白色。,脈寬度細。脈部位沉。,NULL,下肢冷。呼吸微弱。心悸。腰無力。腰酸。,下肢浮腫。全身浮腫。面浮腫。
腎陰虛,舌體顏色紅色。,脈寬度細。脈速度快。,NULL,NULL,喉乾。聲啞。
腎陽虛,舌苔厚度薄。舌苔顏色白。舌體顏色淡白色。,脈利度滑。脈力度弱。脈部位沉。,四肢冷。畏寒。,小便失禁。小便次數多。小便量多。耳鳴。腰無力。腰酸。膝酸。頭暈目眩。,小便不暢。小便次數多。小腹痛。小腹脹。屢次墮胎。緊張心慌。腹痛。陰道出血色淡紅。陰道出血色黑。陰道出血質稀。
膀胱濕熱,舌苔質地黏膩。舌苔顏色黃。舌體顏色紅色。,脈利度滑。脈速度快。,NULL,口乾。渴不欲飲。胃悶。胸悶。面垢。面色黃。食欲低落。,小便不暢。小便次數多。小便灼熱。小便疼痛。小便色棕。小便色紅。小便色黃。
血虛生風,舌苔厚度薄。舌苔顏色白。舌體顏色淡白色或舌體顏色紫色或舌體顏色青色。,脈利度滑或脈利度澀。脈力度弱。脈寬度細。脈幅異常。脈速度快或脈速度慢。脈部位沉。,NULL,下肢無力。下肢酸。口臭。呼吸微弱。四肢無力。大便不盡。小腹痛。心悸。意識懶言。煩躁憤怒。疲憊嗜睡。腰無力。腰酸。膝酸。面乾。面色暗。面色白。面色青。面色黃。頭暈目眩。頭重。,子宮頸已擴張。小便不暢。小便次數多。小便量少。小腹痛。小腹脹。屢次墮胎。月經後期。月經量少。月經閉經。緊張心慌。胎動停止。胎塊排出但陰道仍持續流血。胎盤組織堵塞於子宮頸口。腹痛。陰道出血挾塊。陰道出血色紅。陰道出血色紫。陰道出血色黑。陰道出血量多。
陰虛動風,舌尖顏色紅。舌苔厚度薄。舌苔顏色黃。舌體顏色深紅色或舌體顏色紅色。,脈利度滑。脈力度弱。脈寬度細。脈緊度緊。脈速度快。脈部位浮。脈長度長。,NULL,全身消瘦。口乾。口渴。口苦。喉乾。多夢難眠。大便次數少。大便質硬。心悸。手足心熱。潮熱。煩躁憤怒。發熱。緊張心慌。胸悶。胸痛。脅痛。脅脹。面色紅。頭暈目眩。頭痛。頭脹。,呼吸急促。咳嗽挾痰。咳嗽無痰。小便不暢。小便次數多。小便灼熱。小便疼痛。小便色黃。小便量少。屢次墮胎。月經崩漏。月經色紅。月經色紫。月經質濃。月經量少。煩躁憤怒。痰挾血。緊張心慌。耳鳴。聲啞。胸悶。胸脹。腰痛。腹痛。腹脹。陰道出血色紅。陰道出血色紫。陰道出血質濃。頭暈目眩。
