心血虛,舌苔厚度薄。舌苔顏色灰。舌體顏色淡紅色。,脈寬度細。,頭暈。,大便質硬。心悸。目花。頭昏。,小腹痛。惡露量少。
手厥陰心包經,舌體顏色紫色。,脈部位沉。,NULL,NULL,小腹痛。
手太陰肺經,舌苔顏色白。,脈部位沉。,NULL,NULL,全身痛。小腹痛。惡露量少。
濕襲衛表,舌苔顏色白。舌體顏色淡白色。,脈力度弱。脈寬度細。脈緊度散。脈部位沉。,四肢無力。情緒神疲。,呼吸微弱。意識懶言。面色白。,惡風。畏風。
熱極生風,舌苔厚度薄。舌苔顏色灰。舌體顏色淡紅色。,脈利度澀。脈幅異常。脈部位浮。,NULL,冷汗。口噤。呼吸急促。四肢冷。意識昏迷。目瞑。面色暗。面色白。面色紫。,全身痛。心悸。情緒煩躁。惡露不下。突然暈眩。腹脹。
脾氣虛,舌苔顏色白。舌體顏色淡白色。,脈力度弱。脈寬度細。脈速度慢。,呼吸微弱。情緒神疲。,四肢無力。意識懶言。面色暗。面色白。食欲低落。,小便不通。小便次多。小腹脹。
腎陽虛,舌苔顏色白。,脈力度弱。脈寬度細。脈部位沉。,NULL,下肢無力。腰無力。腰酸。膝酸。面色暗。,小便不通。小便次多。小腹痛。小腹脹。
膀胱濕熱,舌苔質地黏膩。舌苔顏色黃。舌體顏色紅色。,脈速度快。,NULL,口乾。口苦。大便不暢。意識呆滯。胸悶。,全身痛。小便不通。小便次多。尿道灼熱。
血虛生風,舌苔厚度薄。舌苔顏色白。舌體顏色淡白色。,脈力度弱。脈寬度細。脈部位沉。,NULL,小便量多。情緒痛苦。耳鳴。面色暗。面色白。頭暈。,背痛。腰無力。腰痛。腰酸。足跟痛。
足太陰脾經,舌苔顏色白。舌體顏色深紅色。,脈寬度細。,NULL,全身痛。情緒痛苦。產後發熱。食欲低落。,小腹痛。惡露不下。腹痛。
陰虛動風,舌苔厚度薄。舌苔顏色白。舌體顏色紅色。,脈寬度細。脈速度快。,NULL,下肢無力。口乾。喉乾。情緒煩躁。手足心熱。耳鳴。腰無力。腰酸。膝酸。面色紅。頭暈。,NULL
風襲經絡,舌苔厚度薄。舌苔顏色白。舌體顏色淡紅色。,脈寬度細。脈部位浮。,NULL,面色白。面色黃。,口噤。四肢抽搐。驟然發痙。
風襲關節,舌苔顏色白。舌體顏色淡白色。,脈寬度細。脈速度慢。,NULL,全身冷。呼吸微弱。四肢無力。寒戰。心悸。惡風。畏寒。畏風。面浮腫。面色白。頭暈。食欲低落。,全身冷。全身痛。寒戰。畏寒。背痛。腰痛。
